Frequency,Offset,Tone,Call,Location,ST/PR,Use,Mode,Mi,Dir,Operational status
147.345,+0.6 MHz,,W4NYR,Shelby,NC,OPEN,FM,60.04,NNE,ON-AIR
224.06,-1.6 MHz,,W4NYR,Shelby,NC,OPEN,FM,60.04,NNE,ON-AIR
224.46,-1.6 MHz,,N4DWP,Shelby,NC,OPEN,FM,60.04,NNE,ON-AIR
444.275,+5 MHz,127.3,AE6JI,Shelby,NC,OPEN,FM,60.04,NNE,OFF-AIR
145.21,-0.6 MHz,118.8 / 118.8,KI4CCZ,Elberton,GA,OPEN,FM,60.7,WSW,OFF-AIR
444.7,+5 MHz,118.8 / 118.8,KI4CCZ,Elberton,GA,OPEN,FM,60.7,WSW,ON-AIR
145.42,-0.6 MHz,,KR4GSP,Caesar's Head Mountain,SC,OPEN,DSTAR,60.82,NW,ON-AIR
443.1125,+5 MHz,CC1,WR4SC,Caesar's Head Mountain,SC,OPEN,DMR,60.82,NW,ON-AIR
443.125,+5 MHz,123,K4ECG,Caesar's Head Mountain,SC,OPEN,FM,60.82,NW,ON-AIR
145.47,-0.6 MHz,91.5 / 91.5,K9OH,"Marietta, Caesars Head Mountain",SC,OPEN,FM,61.33,NW,ON-AIR
224.14,-1.6 MHz,131.8 / 131.8,WR4XM,"Marietta, Caesars Head Mountain",SC,OPEN,FM,61.33,NW,ON-AIR
442.4,+5 MHz,127.3,WR4XM,"Marietta, Caesars Head Mountain",SC,OPEN,FM EchoLink,61.35,NW,ON-AIR
442.2,+5 MHz,,N7GZT,Columbia,SC,OPEN,FM IRLP,61.8,SE,ON-AIR
441.525,+5 MHz,91.5,WR4SC,Aiken,SC,OPEN,FM,62.37,S,ON-AIR
145.35,-0.6 MHz,156.7 / 156.7,N2ZZ,"Aiken, Aiken Regional Medical Center",SC,OPEN,FM EchoLink,62.39,S,ON-AIR
224.62,-1.6 MHz,100,KC4IRA,"Gastonia, Crowders Mountain",NC,OPEN,FM,62.7,NNE,ON-AIR
146.805,-0.6 MHz,100.0 / 100.0,K4GNC,"Gastonia, Crowders Mountain",NC,OPEN,FM,62.7,NNE,ON-AIR
443.4375,+5 MHz,,KA4YMZ,"Gastonia, Crowders Mountain",NC,OPEN,Fusion WIRES-X,62.71,NNE,ON-AIR
443.8625,+5 MHz,,KK4JDH,"Gastonia, Crowders Mountain",NC,OPEN,DSTAR,62.72,NNE,ON-AIR
145.45,-0.6 MHz,CSQ / CSQ,WD4LCF,"Gastonia, Crowders Mountain",NC,OPEN,FM,62.72,NNE,ON-AIR
443.675,+5 MHz,151.4,KD4FRP,Gastonia,NC,OPEN,FM,62.72,NNE,OFF-AIR
145.16,-0.6 MHz,,KR4AIK,"Aiken, old Aiken Hospital",SC,OPEN,DSTAR,62.79,S,ON-AIR
443.4125,+5 MHz,,KR4AIK,"Aiken, old Aiken Hospital",SC,OPEN,DSTAR,62.79,S,ON-AIR
442.025,+5 MHz,,KJ4JAL,"Hendersonville, Pinnacle Mountain",NC,OPEN,DSTAR,63.01,NW,OFF-AIR
147.27,+0.6 MHz,91.5,WA4JRJ,Seneca,SC,OPEN,FM IRLP,63.16,WNW,OFF-AIR
145.08,+1.4 MHz,,W4NYR,Kings Mountain,NC,OPEN,DSTAR,63.21,NNE,ON-AIR
444.1875,+5 MHz,,W4NYR,Kings Mountain,NC,OPEN,DSTAR,63.21,NNE,ON-AIR
147.285,+0.6 MHz,100.0 / 100.0,N4ADM,Aiken,SC,OPEN,FM,63.42,S,ON-AIR
224.66,-1.6 MHz,,WA2RUG,Aiken,SC,OPEN,FM,63.42,S,ON-AIR
443.4625,+5 MHz,CC1,N2ZZ,Aiken,SC,OPEN,DMR,63.42,S,ON-AIR
443.475,+5 MHz,110.9,KT4TF,"Indianland, Water Tank",SC,OPEN,FM,64.56,NE,ON-AIR
442.325,+5 MHz,110.9 / 110.9,KC4KPJ,Newport,SC,OPEN,FM,64.64,NE,ON-AIR
147.24,+0.6 MHz,103.5 / 103.5,KI4IVP,Elgin,SC,OPEN,FM Fusion WIRES-X,64.75,SE,ON-AIR
444.5625,+5 MHz,173.8 / 173.8,W4DCD,"Asheville, Oteen / Azalea",NC,OPEN,Fusion WIRES-X,65.06,NNW,ON-AIR
443.5875,+5 MHz,CC,KM4BRM,"Gastonia, Crowders Mt",NC,OPEN,DMR,65.13,NNE,Unknown status
443.9125,+5 MHz,CC1,KA4YMZ,"Gastonia, Crowders Mountain",NC,OPEN,DMR,65.13,NNE,ON-AIR
146.7,-0.6 MHz,123.0 / 123.0,W4PAX,Lancaster,SC,OPEN,FM,65.13,E,Unknown status
444.1,+5 MHz,192.8,W4PAX,Lancaster,SC,OPEN,FM,65.13,E,ON-AIR
224.32,-1.6 MHz,131.8 / 131.8,N4AW,"Pickens, Sassafras Mtn",SC,OPEN,FM,65.59,NW,ON-AIR
53.41,-1.0 MHz,131.8 / 131.8,N4VDE,"Pickens, Caesars Head Mountain",SC,OPEN,FM,65.66,NW,ON-AIR
146.61,-0.6 MHz,,W4NYK,"Greenville, Ceasars Head",SC,OPEN,FM EchoLink,65.66,NW,ON-AIR
927.7125,-25 MHz,100.0 / 100.0,N4VDE,"Pickens, Caesars Head Mountain",SC,OPEN,FM,65.66,NW,Unknown status
146.79,-0.6 MHz,,N4AW,"Pickens, Sassafrass Mountain",SC,OPEN,FM,65.73,NW,OFF-AIR
146.775,-0.6 MHz,156.7 / 156.7,W4CAE,Fort Jackson,SC,OPEN,FM,66.04,SE,OFF-AIR
147.24,+0.6 MHz,131.8,KG4JIA,"Sunshine, Cherry Mountain",NC,OPEN,FM,66.24,N,Unknown status
224.64,-1.6 MHz,71.9,KG4JIA,"Sunshine, Cherry Mountain",NC,OPEN,FM,66.24,N,ON-AIR
446.075,0 MHz,,KE4TLC,Lugoff,SC,OPEN,FM EchoLink,66.62,SE,Unknown status
441.9,+5 MHz,123.0 / 123.0,WE4GW,Martinez,GA,OPEN,FM,66.77,S,ON-AIR
444.975,+5 MHz,,N4DWP,Polkville,NC,OPEN,FM,66.84,NNE,ON-AIR
444.8,+5 MHz,146.2 / 146.2,KE4RAP,North Augusta,SC,OPEN,FM,67.03,S,Unknown status
146.73,-0.6 MHz,,K4NAB,North Augusta,SC,OPEN,FM,67.04,S,Unknown status
927.8,-25 MHz,,KG4HIR,North Augusta,SC,OPEN,FM,67.04,S,ON-AIR
442.05,+5 MHz,D152 / D152,K4CBA,"Gastonia, Crowder's Mtn",NC,OPEN,FM,67.23,NE,ON-AIR
442.7,+5 MHz,100.0 / CSQ,KC4IRA,"Gastonia, Crowders Mountain",NC,OPEN,FM EchoLink,67.23,NE,ON-AIR
442.775,+5 MHz,123,KG4LWG,Gastonia,NC,OPEN,FM,67.23,NE,ON-AIR
443.75,+5 MHz,,KC4ZTI,Gastonia,NC,OPEN,FM,67.23,NE,ON-AIR
